,degreeID,n,rank
1920,"44.0504,5",10,2244
2325,"50.1003,7",10,2245
1207,"26.0999,17",10,2246
1215,"26.1002,7",10,2247
1877,"43.0201,7",10,2248
921,"19.0699,5",10,2249
669,"15.0599,5",10,2250
1583,"39.0602,17",10,2251
1100,"26.0399,5",10,2252
1690,"40.0511,5",10,2253
1601,"39.0703,5",10,2254
2287,"50.0907,18",10,2255
1453,"30.1701,17",10,2256
749,"16.0103,17",10,2257
739,"15.1601,5",10,2258
361,"13.1207,5",10,2259
1649,"40.0203,17",10,2260
2407,"51.0711,7",10,2261
78,"1.0907,17",10,2262
2417,"51.0801,5",10,2263
72,"1.0905,17",10,2264
637,"15.0,17",10,2265
1177,"26.0899,17",10,2266
881,"16.9999,17",10,2267
1513,"31.0504,17",10,2268
621,"14.4001,5",10,2269
1347,"29.0307,7",10,2270
1784,"42.2709,7",10,2271
1759,"42.0101,18",10,2272
1542,"38.0104,5",10,2273
540,"14.0999,5",10,2274
536,"14.0903,17",10,2275
1569,"39.0301,17",10,2276
47,"1.0603,7",10,2277
1752,"41.0205,5",10,2278
824,"16.0904,7",10,2279
2348,"51.0203,17",10,2280
1566,"39.0201,17",10,2281
836,"16.1001,7",10,2282
1741,"40.1002,17",10,2283
1743,"40.1002,7",10,2284
2548,"51.2008,7",10,2285
1470,"30.2202,17",9,2286
1442,"30.1299,7",9,2287
2744,"51.3819,5",9,2288
1922,"44.0599,17",9,2289
2797,"52.021,5",9,2290
1560,"38.0299,17",9,2291
1304,"27.0199,17",9,2292
1907,"44.0401,18",9,2293
1589,"39.0605,7",9,2294
451,"13.1331,17",9,2295
1486,"30.3001,17",9,2296
1465,"30.2101,5",9,2297
1775,"42.2706,17",9,2298
614,"14.3801,17",9,2299
2426,"51.0811,5",9,2300
225,"13.0201,17",9,2301
